name, reservationID, Table, date, time, restaurantID, phone number, customer ID, numberOfPeople,
m, 40698148, 1, 2022-11-22, 13:55, 4, 1, 40099992, 1, 
m, 64896636, 2, 2022-11-22, 13:00, 4, 1, 44109959, 1, 
m, 56595548, 1, 2022-11-22, 19:00, 4, 1, 29931888, 1, 
m, 49129069, 1, 2022-11-23, 15:00, 4, 1, 25764744, 1, 
null, 52671945, 8, 2022-11-23, 23:16:35.078309300, 4, 0, 25764744, 3, 
null, 90662508, 6, 2022-11-23, 23:18:29.678530100, 4, 0, 23472484, 3, 
m, 84949483, 2, 2022-11-23, 13:55, 4, 1, 23472484, 1, 
Sam, 15693917, 1, 2022-11-24, 10:30, 1, 874747474, 46835732, 12, 
null, 97936940, 6, 2022-11-24, 03:07:13.956178700, 1, 0, 46835732, 5, 
null, 85016125, 7, 2022-11-24, 03:32:25.638341200, 1, 0, 23472484, 2, 
